d,p,op,bw MB/s,overhead
15,4,encode,8415.22,0.21052631578947367
15,5,encode,7948.09,0.25
15,6,encode,7130.49,0.2857142857142857
15,7,encode,5817.68,0.3181818181818182
15,8,encode,5530.64,0.34782608695652173
15,9,encode,5141.09,0.375
15,10,encode,4781.95,0.4
16,1,encode,16711.57,0.058823529411764705
16,2,encode,12091.75,0.1111111111111111
16,3,encode,9705.53,0.15789473684210525
16,4,encode,8861.53,0.2
16,5,encode,7786.40,0.23809523809523808
16,6,encode,6993.23,0.2727272727272727
16,7,encode,5628.01,0.30434782608695654
16,8,encode,5416.17,0.3333333333333333
16,9,encode,4891.39,0.36
16,10,encode,4655.33,0.38461538461538464
17,1,encode,15355.69,0.05555555555555555
17,2,encode,12028.56,0.10526315789473684
17,3,encode,9542.09,0.15
17,4,encode,8512.93,0.19047619047619047
17,5,encode,7451.24,0.22727272727272727
17,6,encode,6895.27,0.2608695652173913
17,7,encode,5558.64,0.2916666666666667
17,8,encode,5055.12,0.32
17,9,encode,4793.74,0.34615384615384615
17,10,encode,4537.91,0.37037037037037035
18,1,encode,15145.64,0.05263157894736842
18,2,encode,12905.35,0.1
18,3,encode,9515.54,0.14285714285714285
18,4,encode,8373.34,0.18181818181818182
18,5,encode,7372.72,0.21739130434782608
18,6,encode,6835.75,0.25
18,7,encode,5320.58,0.28
18,8,encode,5025.67,0.3076923076923077
18,9,encode,4644.88,0.3333333333333333
18,10,encode,4588.17,0.35714285714285715
19,1,encode,16304.04,0.05
19,2,encode,13032.60,0.09523809523809523
19,3,encode,9452.13,0.13636363636363635
19,4,encode,8204.57,0.17391304347826086
19,5,encode,7314.32,0.20833333333333334
19,6,encode,6461.34,0.24
19,7,encode,5178.32,0.2692307692307692
19,8,encode,4916.24,0.2962962962962963
19,9,encode,4658.32,0.32142857142857145
19,10,encode,4567.59,0.3448275862068966
20,1,encode,16654.03,0.047619047619047616
20,2,encode,12918.36,0.09090909090909091
20,3,encode,9311.07,0.13043478260869565
20,4,encode,8117.73,0.16666666666666666
20,5,encode,6909.97,0.2
20,6,encode,6474.86,0.23076923076923078
20,7,encode,5050.05,0.25925925925925924
20,8,encode,4908.41,0.2857142857142857
20,9,encode,4498.22,0.3103448275862069
20,10,encode,4466.85,0.3333333333333333
21,1,encode,15369.84,0.045454545454545456
21,2,encode,12190.25,0.08695652173913043
21,3,encode,9274.47,0.125
21,4,encode,7623.78,0.16
21,5,encode,6806.36,0.19230769230769232
21,6,encode,6362.16,0.2222222222222222
21,7,encode,5123.99,0.25
21,8,encode,4834.91,0.27586206896551724
21,9,encode,4510.81,0.3
21,10,encode,4237.83,0.3225806451612903
22,1,encode,15282.50,0.043478260869565216
22,2,encode,11944.81,0.08333333333333333
22,3,encode,8834.92,0.12
22,4,encode,7511.31,0.15384615384615385
22,5,encode,6764.83,0.18518518518518517
22,6,encode,6321.55,0.21428571428571427
22,7,encode,4989.71,0.2413793103448276
22,8,encode,4774.82,0.26666666666666666
22,9,encode,4300.95,0.2903225806451613
22,10,encode,4184.38,0.3125
23,1,encode,15844.22,0.041666666666666664
23,2,encode,10932.45,0.08
23,3,encode,8792.11,0.11538461538461539
23,4,encode,7530.30,0.14814814814814814
23,5,encode,6675.85,0.17857142857142858
23,6,encode,6207.75,0.20689655172413793
23,7,encode,5042.67,0.23333333333333334
23,8,encode,4477.10,0.25806451612903225
23,9,encode,4202.81,0.28125
23,10,encode,4060.07,0.30303030303030304
24,1,encode,14733.01,0.04
24,2,encode,10865.99,0.07692307692307693
24,3,encode,8826.91,0.1111111111111111
24,4,encode,7870.84,0.14285714285714285
24,5,encode,6715.79,0.1724137931034483
24,6,encode,6292.64,0.2
24,7,encode,4801.27,0.22580645161290322
24,8,encode,4031.19,0.25
24,9,encode,4118.32,0.2727272727272727
24,10,encode,3829.95,0.29411764705882354
25,1,encode,14845.72,0.038461538461538464
25,2,encode,10660.93,0.07407407407407407
25,3,encode,9033.61,0.10714285714285714
25,4,encode,7975.50,0.13793103448275862
25,5,encode,6898.55,0.16666666666666666
25,6,encode,6081.15,0.1935483870967742
25,7,encode,4610.07,0.21875
25,8,encode,4379.00,0.24242424242424243
25,9,encode,3651.07,0.2647058823529412
25,10,encode,4053.62,0.2857142857142857
26,1,encode,14432.08,0.037037037037037035
26,2,encode,10564.20,0.07142857142857142
26,3,encode,8696.71,0.10344827586206896
26,4,encode,7715.11,0.13333333333333333
26,5,encode,6504.03,0.16129032258064516
26,6,encode,4351.65,0.1875
26,7,encode,4720.51,0.21212121212121213
26,8,encode,3604.01,0.23529411764705882
26,9,encode,4288.90,0.2571428571428571
26,10,encode,3897.17,0.2777777777777778
